weekday;hour;minute;100 kW ≤ P < 200 kW;12 kW ≤ P < 25 kW;25 kW ≤ P < 100 kW;4 kW ≤ P < 12 kW;P < 4 kW;P ≥ 200 kW
1;1;0;0.0020293394328168264;0.000899181884981836;0.0011398905253653857;0.0006626298833455868;0.0005343307507347048;0.002913894419892186
1;2;0;0.0022574931406939185;0.0008045306927679706;0.0009231167573835269;0.00043326196022780785;0.0006292352371732817;0.0025495195136301238
1;3;0;0.002348999084581239;0.0011397265870653802;0.001623953311342299;0.0007757169074752622;0.0014295585046818042;0.0024916334855998243
1;4;0;0.00400153102056439;0.0028140050868553494;0.003078154685729427;0.0017654317081659124;0.0028030500985818468;0.004289517799033626
1;5;0;0.008274763701831528;0.006990759453657426;0.005551324363205551;0.003535372632056566;0.006133352500059896;0.009762764814995606
1;6;0;0.012918439534526068;0.01172734073058222;0.009789304903091508;0.006675794343987536;0.01248863581989569;0.014854761612942762
1;7;0;0.019149081940257606;0.012524802881034773;0.012125029525234234;0.008187185984946142;0.01563058447902023;0.021015422608527224
1;8;0;0.022027724549864486;0.01209486974773624;0.014934441775551808;0.010922353089772333;0.013076941636306608;0.025556172854416772
1;9;0;0.02396010077638953;0.013544438884287233;0.01734377641291486;0.015183033562495242;0.01296604132035146;0.028195349981547546
1;10;0;0.02792688610041942;0.014532622583317343;0.01854397547081219;0.014458881568558091;0.014417185284859553;0.03462376649771052
1;11;0;0.02747280979703691;0.014098190089611275;0.01916059933095325;0.013446219875173943;0.01377881627442006;0.032093148406350136
1;12;0;0.025906735751295335;0.012998779197830851;0.018591938994145733;0.013162996094599578;0.012931448899144313;0.028835704108001063
1;13;0;0.029116153766449073;0.01334671034220634;0.01889997637502953;0.013272751267887106;0.013523303549867182;0.033573719881334264
1;14;0;0.031122650755712983;0.014138218135979196;0.021165280777231735;0.01471511945381719;0.016011402779427485;0.03421142661648991
1;15;0;0.03130584192439863;0.014218322537766783;0.0213634900102242;0.01360172049501962;0.015932813437312537;0.03337969401947149
1;16;0;0.03128326637134714;0.014056972427452035;0.021241500033663232;0.01247589597757736;0.01632377088766541;0.03229204949160848
1;17;0;0.026286169457479785;0.012068432670049556;0.017446015836480182;0.011324523277139915;0.013372598242734382;0.029814031289973432
1;18;0;0.019910094555725875;0.009663776812328315;0.01294370336875424;0.011577205013005439;0.011474469305794608;0.02281833284471807
1;19;0;0.014934340399965669;0.007931673992164039;0.009628300204305081;0.010810328168398765;0.00601308447181066;0.017647345585726126
1;20;0;0.008668816533166892;0.006150825109545803;0.006682224945853831;0.00939565403452047;0.004842382835910344;0.010277187608083403
1;21;0;0.006078922372852086;0.004067887146948999;0.0043825307143299744;0.006627914661664783;0.002607184241019699;0.005700920917994445
1;22;0;0.00429177122090508;0.002722510543651324;0.003248730964467005;0.003564487841873252;0.002389257896497348;0.004182247589057272
1;23;0;0.002887639870056206;0.0017086472850688249;0.0017502950094007781;0.0028119376124775045;0.0015315401550684408;0.0027884450749700363
2;0;0;0.0019401330376940134;0.0012997940745910364;0.0010748977432804747;0.0016612288688856239;0.0007598603756559732;0.0022502140149198973
2;1;0;0.0020053244822459634;0.0008686938373754587;0.0009358492267968587;0.0006996930175679678;0.0006716883366118121;0.002481932987809329
2;2;0;0.0021811383464894057;0.0007400134392171304;0.001024665154065725;0.00041617797283492866;0.0008631023735315272;0.0023584905660377358
2;3;0;0.0021700566625906343;0.001101537703546792;0.0014507667133386191;0.0006988076201508417;0.0013406430298532476;0.002354210603756928
2;4;0;0.0033592129843865153;0.0026108580667445072;0.0027500820497730898;0.0018816105826340648;0.002107431089398185;0.004375291890961827
2;5;0;0.00788654444828779;0.006779270924309524;0.006079405871098482;0.004191856092195658;0.006075334143377886;0.009473528395914541
2;6;0;0.014596515558637427;0.011653311641642128;0.00924801969297478;0.006089430868802726;0.012694748990190421;0.016660523405823812
