weekday;hour;minute;100 kW ≤ P < 200 kW;12 kW ≤ P < 25 kW;25 kW ≤ P < 100 kW;4 kW ≤ P < 12 kW;P < 4 kW;P ≥ 200 kW
0;19;0;26.50219200887902;14.868819481533215;18.32837354085603;13.003998898273963;10.167974842767295;32.08684900480439
0;20;0;27.11280090497737;15.677051636918966;18.310660276415515;13.313367066895369;11.469855421686747;31.841891726251276
0;21;0;25.08423469387755;16.70071298547472;19.851159411404044;14.894618171362854;11.586380952380951;31.545626749611202
0;22;0;28.40336018957346;17.634095165297154;19.904699;15.786382639503987;10.049179487179487;31.936564705882354
0;23;0;30.468038461538463;18.54097687446136;19.469024390243902;15.651674342105265;15.961571428571427;33.7924632034632
1;0;0;27.553657142857144;19.75006222707424;19.008975225225228;15.135791366906474;13.633166666666668;34.74738157894737
1;1;0;33.68825490196079;20.87404480224011;20.69630163934426;15.590766666666665;;38.15260606060606
1;2;0;31.97471666666667;20.628924278846153;21.136197115384615;14.694814159292035;5.705;36.86203773584906
1;3;0;28.16866037735849;18.32928392484342;19.56776219512195;16.23609677419355;11.7464;33.73895575221239
1;4;0;28.86230769230769;15.496112011577424;17.3190608974359;14.982842271293375;12.511866666666666;27.859144578313252
1;5;0;26.870021276595743;15.8908330491963;15.842793948126802;14.084586145648311;8.007053571428571;29.168769927536232
1;6;0;28.209070689655174;15.558875537439276;18.47407643758766;12.932846007604562;8.974341614906834;30.74935114503817
1;7;0;28.801597826086958;15.286055668358715;18.83539849246231;13.83513028169014;8.852698924731182;30.814721021611
1;8;0;28.030948936170216;14.604465413389601;18.771072642967543;13.619660696517414;7.950220588235294;31.138692443919712
1;9;0;28.240255215577193;13.8218794184006;18.030609803378564;12.474701970976826;7.9524566473988445;32.39182091097309
1;10;0;27.86447391577624;13.616740523423674;18.874665525895505;12.363971692431239;7.83295512820513;32.18346269943942
1;11;0;28.47326609963548;13.403135119251676;18.673355575065848;11.607944401544401;7.544691275167785;32.58711726907631
1;12;0;27.908078369905958;13.037218574836873;18.357553539426526;10.444697660098521;7.936833333333334;31.895980481727573
1;13;0;27.044182151589236;12.586961615154538;17.08064457831325;10.412496519721579;7.649007042253522;31.934648894154815
1;14;0;26.507701774470522;12.515335713687968;17.662524010671408;10.544620784206195;6.928873333333333;30.934232438831888
1;15;0;26.887415625000003;12.512822950732499;17.47242044741794;11.05443440983138;8.058878787878788;32.09910881801126
1;16;0;26.4511276376737;12.709561668510847;17.153154955697506;10.911300701116591;8.95445971563981;31.2175471562275
1;17;0;27.6364443793911;13.460896240518245;17.581053728578045;11.39131991581163;9.001529147982062;31.86035630320227
1;18;0;27.28280700389105;13.857981498551489;17.669669103709722;11.700388059701494;9.259742268041236;31.43669109414758
1;19;0;26.335588174273855;15.032166588785048;18.211501740947078;12.551043160204829;11.420616000000003;31.794413769123782
1;20;0;26.88861658031088;15.74159762994883;19.08621133093525;13.7496707498144;10.25692105263158;32.043978196233894
1;21;0;26.959213720316622;16.338916428195994;18.89745918367347;15.653905272981802;10.454708333333334;30.899630952380953
1;22;0;27.867609427609427;17.626910673059847;18.706170502983802;15.603518852459018;10.606038461538462;33.07943645083933
1;23;0;29.3597875;18.506784291725104;20.40541689008043;15.319552011095698;14.05614285714286;32.00776068376068
2;0;0;33.670794871794875;18.85319685802948;19.945501057082453;13.893933194154487;14.3885;31.821100000000005
2;1;0;31.998954545454538;19.635697434188604;21.0071301369863;11.848416666666667;16.5246;35.574619047619045
2;2;0;33.37480434782609;21.2232733976177;22.887653409090905;15.472685483870968;;33.210981132075474
2;3;0;29.59316;18.717444928438084;17.039105263157893;18.94921904761905;3.3562857142857143;35.223894736842105
2;4;0;27.4796106870229;15.6603777509798;17.853548387096772;14.301806122448978;10.79125;28.664275720164607
2;5;0;25.186395256916995;15.477238083716427;16.404188449848025;14.879308457711442;8.662210526315791;29.253141527001862
2;6;0;28.076050595238094;15.185789001601707;17.92617753120666;13.624696534234998;8.709878453038673;30.355368131868136
2;7;0;29.54880286006129;15.069637489513005;19.080529688972668;13.416734328358208;8.914959798994973;31.23959067357513
2;8;0;28.59713765182186;14.484993178717602;18.589536194979992;13.32511167002012;8.206159420289854;31.91046634356489
2;9;0;27.449560741249144;13.82653304570581;19.22846549921589;12.302362576687116;8.609469696969699;31.54779176201373
2;10;0;27.978751915144368;13.503017163139688;18.754091349328636;12.003932657926102;7.918515723270441;31.88259889240506
2;11;0;27.812296482412062;13.469990311801332;18.52403518592563;11.784916934487022;8.188491017964072;32.06591615020051
2;12;0;27.41572247446084;12.853010208933515;17.825760761589404;11.002611357586511;8.619732558139535;31.773475047619048
2;13;0;27.372014061654948;12.592007588292349;17.369244166666668;10.677900347624563;7.447647482014388;31.599206406989445
2;14;0;27.24772467672414;12.372565845839206;17.797506008855155;10.73776423690205;7.339632768361582;31.518413444792753
2;15;0;27.050439671814672;12.60914941470472;17.528731568228107;10.668436104910715;7.884708571428572;30.99789442031407
2;16;0;28.20781355932203;12.984970459825872;17.085620607504467;11.22499528425465;9.17593273542601;30.793385392892077
2;17;0;27.11342917324908;13.349693062791337;17.90803845318271;11.736989116351385;8.275742222222222;31.645446409238538
2;18;0;27.85766163349348;14.10585170280697;18.733232228687076;11.871711508793583;9.144926966292134;31.027509186351704
2;19;0;26.612552153110045;14.93769037880815;18.536724796493424;12.717710740992525;9.958457364341086;31.294534375
2;20;0;27.11538275340394;15.732613868055868;18.862401956787604;13.998506632277081;9.778577777777778;31.825203084832907
2;21;0;27.53973882352941;16.559397465571113;19.31473750717978;15.710852680895368;11.733;31.694119480519483
2;22;0;27.093455128205125;17.893368122270743;19.51140511915269;15.017444964871196;11.445624999999998;31.150237623762376
2;23;0;28.579311688311687;18.986267626282817;19.899771531100477;15.667175886524824;16.689827586206896;33.70330215827338
3;0;0;29.27465714285714;19.44458917725014;19.84375;14.637355679702049;14.517916666666666;34.355597484276736
3;1;0;32.03798591549296;20.832030600461895;22.33709836065574;13.89261693548387;9.942769230769228;37.129077586206904
3;2;0;31.020169811320756;21.07622624190065;19.403649789029537;17.16650331125828;9.691;36.68198347107438
3;3;0;27.487585365853658;20.01913788659794;18.149351219512194;16.473967213114754;12.547333333333333;33.79713986013986
3;4;0;30.436949367088612;16.27996186440678;17.182857664233577;14.638169491525424;9.935599999999999;30.63289256198347
3;5;0;26.814677902621725;15.839150507614214;16.267399681528662;14.585892739273927;8.495777777777779;29.192774647887322
3;6;0;28.964891341256365;15.4532523153377;18.674487463126844;12.959700187969926;9.097701754385964;30.3236494140625
3;7;0;29.558799999999998;15.18873962090078;18.365016248839368;13.164317757009346;9.786934065934066;31.44484207353828
3;8;0;27.690649776453053;14.606969657288236;18.733242826398854;13.169263419836474;8.707652892561983;32.2147101996762
3;9;0;27.176977491961413;13.936493963341015;18.266410033273612;12.662303370786516;7.682173410404625;32.365590733590736
3;10;0;27.63815727170237;13.6046340044039;18.786438596491227;12.14977612253462;8.703745454545453;32.57941055045872
3;11;0;28.3942703950744;13.418786267537023;18.536667810292634;11.84174535315985;8.73551677852349;32.485983985765124
3;12;0;27.36901056524036;13.03016417541353;18.14756752312436;11.05246032745592;8.111693333333333;32.46385832434376
3;13;0;27.7419965034965;12.613467151461323;17.520982376114453;10.524825785024154;6.794509202453988;31.880228480340065
3;14;0;27.20106367804381;12.421688264189225;17.555874563026936;10.902176521992427;8.161208588957056;30.999424163689508
3;15;0;27.249813575996065;12.408066631976064;17.438940594059403;10.253659150043365;7.956196078431373;31.2811699937617
3;16;0;27.377327800829875;12.955469036785686;17.609809136662793;10.84485893416928;9.008604166666665;31.25570597584234
3;17;0;27.656696540880503;13.340977207267088;18.158290466101693;11.327548957126302;8.81116182572614;31.41258550824176
3;18;0;27.930201903467033;13.921011663335845;18.423043793793795;11.492852553806618;10.00879;31.806653608247426
3;19;0;27.053049350649353;14.898039326267977;18.585805693478978;12.82475687254552;11.752545454545455;31.805847790507364
3;20;0;26.670714100905563;15.91700199044586;19.46002086743044;14.15299517878666;10.779738636363636;31.646040800000005
3;21;0;28.79962785862786;16.70110347410267;20.127070206489673;14.656107565620177;11.587079545454545;31.146602409638554
3;22;0;27.145607476635508;18.26466380482829;21.148675909878683;14.943176372712147;10.956446808510638;33.16123204419889
3;23;0;28.754842105263155;19.67228448161423;20.108058616647128;14.654977211796249;15.674999999999997;32.13417350157729
4;0;0;26.50750549450549;20.40976115292822;19.966413120567374;13.302718052738337;10.156999999999998;36.27151336898396
4;1;0;33.252737499999995;20.708255022321428;21.113883289124665;14.370833333333334;14.239800000000002;35.78009420289855
4;2;0;33.363193548387095;20.362414228052472;19.11586345381526;14.718446043165466;16.802166666666665;35.721900763358775
4;3;0;28.30570930232558;20.208515028901733;18.8944381443299;17.154140939597312;5.335;30.84878048780487
4;4;0;26.756827338129497;17.59047159730034;17.38017270194986;15.63765243902439;9.571357142857142;30.040125506072876
4;5;0;27.12562142857143;16.690414833215044;16.423991606714626;14.121623567921443;8.484418918918918;30.462301444043323
4;6;0;27.53706069364162;15.718994096874505;19.040868503443956;13.584436363636362;8.906779069767442;31.928549071618036
4;7;0;27.486904133685137;15.388397596251783;19.139126754572523;13.205509969788519;9.185658031088082;31.203702216896346
4;8;0;27.462979035639414;14.605655046586602;18.768852995676344;13.848640185251156;8.364427672955975;32.31049104116222
4;9;0;27.53311558073654;13.993515978277896;18.49831793103448;12.77109882561489;7.663147058823528;31.78988850174216
4;10;0;28.179403535353533;13.976522820028963;18.540662138560062;12.038979134295229;8.052471794871794;31.68488424657534
4;11;0;27.800465978413893;13.658911947728686;18.049883869753433;11.714851063829787;8.538090322580645;32.27675030674847
4;12;0;27.012849923430323;13.23047245616823;18.164525129342202;10.815917472598322;8.2737304964539;31.26295626911315
4;13;0;27.104090405904056;12.74466802308572;17.66749790184273;10.129263527758257;7.831146496815285;30.722908875739645
4;14;0;26.865015241320915;12.668241883569454;17.7941579954759;10.25154802452316;8.035746575342467;30.74067613956106
4;15;0;27.223146899224805;12.672911269722015;17.67393326541009;10.014018983050848;9.232633540372673;30.26306248352228
4;16;0;26.627156895824548;12.882784682382393;17.775890718038532;10.727214051692755;9.842406862745099;30.24872039039831
4;17;0;27.65709133709981;13.618864550086789;17.80868906739812;11.360227547321788;10.629964467005076;30.16841216820757
4;18;0;27.364608484848485;14.293203148450788;18.089327915194346;11.759446114212109;10.291479797979799;31.08742824858757
4;19;0;27.702279640228944;15.355577067446362;18.286649312664522;13.020125483455093;11.069555555555556;31.600014839636188
4;20;0;26.036624407582938;15.921162086076917;18.758132498101748;13.544255375164548;10.432285714285715;31.333301874163315
4;21;0;25.74281725888325;17.248177771010965;19.108637308263233;14.518968045112782;12.867060606060607;31.58600997280145
4;22;0;27.999960591133007;17.723775010771217;19.759357597173143;14.51742908438061;14.535499999999999;32.8551673414305
4;23;0;27.907010344827587;19.05099157673072;19.49269107321966;14.10340051020408;14.369882352941174;31.34303426124197
5;0;0;25.82560759493671;19.695494203149334;18.837385345997287;13.883825757575757;13.089719999999998;31.869857142857136
5;1;0;27.534492647058823;20.148755422001567;18.4575250501002;15.462726984126984;13.394294117647059;34.02090909090909
5;2;0;30.91504761904762;20.68392924935289;21.375548209366393;15.144669387755103;16.288999999999998;32.49758823529412
5;3;0;31.136154639175256;21.371095512082853;17.77584039087948;14.95853787878788;13.984666666666664;34.985625668449195
5;4;0;30.476161971830983;20.361653804347824;18.196786486486484;14.352640000000001;4.4719999999999995;30.939317406143342
5;5;0;28.710610526315786;16.897046333333332;18.304827181208054;14.836594405594404;10.160619047619045;32.54383047619048
5;6;0;28.666239208633094;14.826477061469268;18.09498111587983;12.451246875;7.426753424657535;30.945671079429733
5;7;0;27.870547502448577;13.971169078898537;18.037199127906973;12.076246511627907;7.268360655737705;30.632136450992952
5;8;0;27.482690330477357;13.582817569106062;18.383086904043452;11.498185983827494;7.826701863354038;30.8756611605252
5;9;0;28.08520379355977;13.212264756158874;17.679225585149315;11.96673470661673;7.3217234042553185;30.67982515151515
5;10;0;28.058712438189417;13.440634786672533;17.42149991645781;11.2828203125;7.518633507853404;30.786740703005606
5;11;0;27.87050883002208;13.40087600059663;17.63009492340042;11.189186948176584;7.595442857142857;31.20832824427481
5;12;0;28.130197117117113;13.099676454633368;17.5077829682953;10.761861821903787;8.699842105263158;31.667706242038218
5;13;0;28.09262310815799;12.995417366620906;17.350956434729063;10.700175925925926;7.83012676056338;31.255428684003153
5;14;0;27.23374944731024;13.223761941371956;17.511453169665376;10.614153735632184;8.594753086419752;31.137795393679703
5;15;0;27.235433717044195;13.586278002734542;17.720630671036744;11.408472569050321;11.207238372093023;31.42778121516165
5;16;0;26.996468931234464;14.00329275667878;17.472784390063033;11.273469790382244;10.475104395604395;31.229450581395348
5;17;0;27.347631738035265;14.405355893054898;17.80168572049555;11.406573107049608;10.367444444444443;30.917701012923505
5;18;0;27.149081843191198;15.131655465710582;18.27187679782904;12.14356050338819;11.783924137931034;31.303458833619217
5;19;0;26.85565021276596;15.765296512999576;18.159608408617096;13.637811794871794;11.417275862068967;31.657153802497163
5;20;0;26.86619642857143;16.38831259276173;17.81940035746202;14.417761235955057;13.277953488372093;30.59985512630015
5;21;0;27.07543738317757;17.525400510384912;18.49325461667599;14.098900071890727;13.620839506172839;29.68919071644803
5;22;0;24.77786650485437;18.37983675809997;18.95681188863807;13.912268115942029;10.931;28.86199393939394
5;23;0;23.120466165413536;19.375540583941604;18.979265720081138;14.38458075040783;11.331396226415096;30.22527922077922
6;0;0;25.596587570621466;20.929611570247936;18.54053735632184;15.635868181818182;11.290933333333331;31.159404411764708
6;1;0;27.763826446280994;20.946017185185184;19.143916853932584;15.607671186440678;18.479625;29.73575776397516
6;2;0;25.43364893617021;20.73656558414171;19.56262686567164;16.68209693877551;9.001666666666667;30.95349593495935
6;3;0;26.557865979381443;22.830480024968793;20.051681159420294;14.79735;14.40775;32.74763076923076
6;4;0;30.444764044943817;20.98826954177898;17.15116300940439;15.308298387096775;7.8957500000000005;31.475146739130434
6;5;0;30.075139664804475;19.630259099616858;17.196245076586433;14.503027777777776;6.934888888888889;35.831851963746224
6;6;0;28.37018956043956;17.508450063748406;20.412246523388117;12.434593625498009;9.584357142857144;32.71771685761047
6;7;0;28.77530617977528;16.576547512278452;19.46908289374529;13.457425162689804;9.158313953488374;32.24467739052726
6;8;0;27.993188065099456;16.156677536002032;20.188715761113606;14.70641;8.677842767295598;31.733003802281367
6;9;0;27.580580161476355;15.881614600307277;20.127259942729875;13.196163323782237;8.598976470588235;30.993825858444286
6;10;0;27.13016598639456;15.61631473340097;20.02041699314398;13.480105446927373;8.074795321637426;31.183316662136452
6;11;0;27.55900204498977;15.534242009572452;19.508791391434052;12.683414551607445;8.283289617486338;31.963373493975904
6;12;0;27.321028411364544;15.102022590716306;19.59487601234092;12.466069851052904;7.106705882352941;32.25988010323792
6;13;0;26.887625146886013;14.603873369233332;19.474364838957058;12.830898060666335;8.370422459893048;31.15277977272727
6;14;0;27.50859010054138;14.469588100102145;19.348639244024454;12.05530754979157;8.258087912087912;30.811159004739338
6;15;0;26.681506343283584;14.468196065893242;19.121877307692305;13.03035724888669;10.591664335664337;30.95309549010584
6;16;0;27.238944047118217;14.945115272938445;18.95130290977601;12.571598003152914;9.588148648648648;30.559193666260658
6;17;0;27.28902384428224;15.349917776152159;18.52315610545791;12.459580088987764;8.937718749999998;30.725961215080012
6;18;0;27.509444093493364;15.919617600492568;18.85476525276002;12.96914503816794;10.106317829457366;30.385045811965814
6;19;0;26.187625818521983;16.57577124149041;19.04005246137262;13.942229419703102;11.753388888888892;30.379185823754785
6;20;0;26.311103233830845;17.44843391959799;19.551742828882293;14.486424460431655;11.547736842105264;30.592112645348834
6;21;0;25.04712962962963;18.35166469300024;18.93011768447837;14.010296969696968;11.260036363636363;31.347525862068963
6;22;0;25.584297959183672;19.084061120366513;19.47689058039962;14.598637621023514;11.03784615384615;28.554545662100455
6;23;0;26.768277108433733;20.198090040316558;20.35968128654971;17.41526057906459;11.061904761904762;30.554704453441296
